,EventTime,Origin,Destination
481,2017.038346,SudesteBR,NordesteBR
482,2016.038236,SudesteBR,CentroOesteBR
483,2017.038346,SudesteBR,CentroOesteBR
484,1982.3827760000001,SudesteBR,CentroOesteBR
485,2015.038336,CentroOesteBR,SudesteBR
486,2013.038346,SudesteBR,Europa
487,2016.038246,SudesteBR,NordesteBR
488,2017.038346,SudesteBR,NordesteBR
489,1989.7452660000001,SudesteBR,NordesteBR
490,2015.038346,SudesteBR,Bahia
491,2004.038236,SudesteBR,Europa
492,2016.0382260000001,SudesteBR,SulBR
493,2012.0382160000001,SudesteBR,Bahia
494,2009.749726,SudesteBR,SulBR
495,2014.038336,SudesteBR,Bahia
496,2016.038236,SudesteBR,Bahia
497,2016.038236,SudesteBR,Bahia
498,2008.038236,SudesteBR,NorteBR
499,2007.038336,SudesteBR,Bahia
500,1983.6873260000002,SudesteBR,NordesteBR
501,1990.9149960000002,NordesteBR,SudesteBR
502,2016.038246,SudesteBR,NorteBR
503,2016.038246,SudesteBR,Bahia
504,2017.038356,SudesteBR,CentroOesteBR
505,2005.038336,SudesteBR,OtherLocations
506,1984.947566,SudesteBR,OtherLocations
507,2017.038346,SudesteBR,NordesteBR
508,2009.038346,SudesteBR,OtherLocations
509,2003.038346,SudesteBR,CentroOesteBR
510,1991.2990360000001,SudesteBR,Bahia
511,2017.038346,SudesteBR,SulBR
512,2015.038336,SudesteBR,OtherLocations
513,1988.033206,SudesteBR,CentroOesteBR
514,2016.038236,SudesteBR,NordesteBR
515,2011.038346,SudesteBR,CentroOesteBR
516,2016.038236,SudesteBR,NordesteBR
517,1992.6761060000001,SudesteBR,CentroOesteBR
518,2017.038346,CentroOesteBR,SudesteBR
519,2014.038336,CentroOesteBR,SudesteBR
520,2009.038326,SudesteBR,OtherLocations
521,2016.038236,SudesteBR,SulBR
522,2015.038346,SudesteBR,SulBR
523,2017.038346,SudesteBR,NordesteBR
524,2016.038236,SudesteBR,SulBR
525,2009.038346,SudesteBR,CentroOesteBR
526,2015.038346,SudesteBR,Bahia
527,2015.038346,SudesteBR,NordesteBR
528,1979.849766,SudesteBR,NordesteBR
529,2017.038356,SudesteBR,CentroOesteBR
530,2012.6054060000001,SudesteBR,Europa
531,1979.5850260000002,SudesteBR,NorteBR
532,2015.038346,NorteBR,NordesteBR
533,2017.038346,NorteBR,NordesteBR
534,2016.038236,NorteBR,CentroOesteBR
535,2017.038346,NorteBR,SulBR
536,2005.8840260000002,NorteBR,SulBR
537,2012.038246,NorteBR,OtherLocations
538,1997.949186,NorteBR,OtherLocations
539,2014.038356,OtherLocations,NorteBR
540,2014.038346,SudesteBR,NordesteBR
541,2017.038346,SudesteBR,NordesteBR
542,2015.038336,SudesteBR,SulBR
543,2016.038236,SudesteBR,NorteBR
544,2003.038346,SudesteBR,Europa
545,2013.038346,SudesteBR,SulBR
546,2017.038346,SudesteBR,NorteBR
547,1978.1423260000001,SudesteBR,NordesteBR
548,2006.038336,SudesteBR,SulBR
549,2016.0382260000001,SudesteBR,SulBR
550,2017.038336,SudesteBR,NordesteBR
551,1984.5407460000001,SudesteBR,SulBR
552,1997.435206,SudesteBR,CentroOesteBR
